Road ID,Length (km),Number of Bends,Traffic Volume (vehicles/day),Accident Risk
R001,56,3,1391,Medium
R002,97,13,6892,High
R003,19,17,4561,Low
R004,76,8,7184,High
R005,65,1,4099,Medium
R006,25,19,7278,Low
R007,87,14,9392,Low
R008,91,6,4104,Low
R009,79,11,8215,High
R010,79,7,3454,Medium
R011,92,14,9996,Low
R012,28,2,3731,Low
R013,7,13,9154,Low
R014,26,16,6056,High
R015,57,3,9110,High
R016,6,17,4840,Medium
R017,92,7,2028,High
R018,34,3,8385,Low
R019,42,1,1502,Medium
R020,6,5,7910,Low
R021,68,9,7938,Low
R022,64,3,5488,High
R023,25,17,1206,Medium
R024,37,11,6134,High
R025,80,1,6977,High
R026,62,9,8721,Medium
R027,26,3,8035,Low
R028,93,13,2484,Low
R029,53,15,8858,Medium
R030,95,14,1863,Low
R031,63,7,3790,Medium
R032,46,13,8408,Medium
R033,96,7,9755,High
R034,64,15,6116,Medium
R035,84,12,7019,High
R036,19,17,2757,Low
R037,66,14,8574,Low
R038,66,12,7374,Low
R039,51,8,7892,Low
R040,66,14,2678,High
R041,55,12,4242,Low
R042,59,0,5636,Medium
R043,68,6,2059,Medium
R044,7,8,7668,Medium
R045,55,0,4157,High
R046,11,11,6915,Low
R047,25,7,3693,Low
R048,77,10,4627,Low
R049,43,18,6450,High
R050,22,16,2663,Medium
